"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","w_ar_pct","b_ar_pct","t_ar_pct","wt_ar_pct","bt_ar_pct","tt_ar_pct","ww_ar_pct","bb_ar_pct","ttt_ar_pct","est_tot","sir_tot","est_b","sir_b","est_w","sir_w"
"121",11300,2013,140,307,450,37,129,1633,1170,269,0.71647275,0.164727495,68.2070650966452,31.104199066874,100,18.7986038821873,8.5726532361766,27.5549568305676,26.23707375438,52.0252694165738,27.5549568305676,55.794360301107,8.05090169340552,0.137581912254921,589.270448542323,0.336083291063803,703.993953198916
"122",11300,2014,136,268,409,37,129,1533,1125,218,0.733855186,0.142204827,65.5096553409924,33.243705695429,100,17.4809210097189,8.87091513926032,26.6779727349814,23.8201048795663,62.3567171022467,26.6779727349814,52.3776817768506,7.7937894005909,0.108321379427206,652.837458996966,0.298166306362459,673.0855818725
"123",11300,2015,172,301,474,37,129,1671,1251,267,0.748653501,0.15978456,63.4887154608732,36.2792659776418,100,18.0120878463288,10.2926216264736,28.3645502962121,24.0588282311566,64.395357543991,28.3645502962121,57.0926981403244,8.28777126123729,0.167772950769384,642.335230297899,0.347492712531397,672.636652108344
"124",11300,2016,138,288,430,37,129,1758,1383,209,0.78668942,0.118885097,66.9611718205069,32.0855614973262,100,16.381320743985,7.8493828564928,24.4582219441442,20.8227893861615,65.9971305595409,24.4582219441442,60.0652084564275,7.14698762011956,0.105378673452395,671.929551789549,0.361788138497196,623.66261926355
"125",11300,2017,162,336,504,37,129,1804,1304,259,0.722838137,0.143569845,66.6534417774251,32.1364808569728,100,18.6242447757885,8.97954658832659,27.9363671636827,25.7648953301127,62.524121960633,27.9363671636827,61.6368805775854,8.16367777712089,0.153285839076564,639.593593509307,0.387974523401459,688.560537254874
"126",11300,2018,119,210,329,37,129,1816,1337,245,0.73623348,0.134911894,63.8103919781221,36.1592221209359,100,11.5632399096966,6.55250261549474,18.1157425251913,15.7056315907561,48.5516115871073,18.1157425251913,62.0468820004962,5.29390999853176,0.106514781455328,576.229939384465,0.284538539625072,546.109110948285
"127",11400,2010,369,324,693,37,129,1362,286,1045,0.209985316,0.767254038,46.7465012263743,53.2390708411485,100,23.7867997944351,27.0905219881066,50.8773217825417,113.24711639287,35.3076260644914,50.8773217825417,46.5351615003721,14.8600321668119,1.4083280258964,244.641744809259,0.160920963579679,1241.75534060167
"128",11400,2011,388,317,707,37,129,1407,272,1125,0.193319119,0.799573561,44.8309998585773,54.8720124451987,100,22.5286049321299,27.5744438916921,50.2451851325421,116.501286291804,34.4858234823571,50.2451851325421,48.0726668362875,14.6763724417148,1.59419872796805,229.016816973621,0.156688073735762,1234.96193409564
"129",11400,2012,223,170,394,37,129,1502,408,1085,0.271637816,0.722370173,43.1362598325298,56.5846231920832,100,11.3174888489448,14.8458824312629,26.229944744025,41.6564567507964,20.5511012809879,26.229944744025,51.3185114343311,7.66261000190944,0.883678389772325,226.700110847829,0.145595230130484,692.195853761817
"130",11400,2013,206,119,327,37,129,1633,514,1111,0.314758114,0.680342927,36.3803118312443,62.9776826658514,100,7.28675525075011,12.6140469046599,20.0232686302125,23.1472476171951,18.540185401854,20.0232686302125,55.794360301107,5.85032189720801,0.835872381948482,220.115481526561,0.140206702933245,495.40665829409
"131",11400,2014,173,127,300,37,129,1687,396,1241,0.234736218,0.73562537,42.3192269243585,57.6474508497168,100,7.52771027206449,10.2542824965918,17.7819927686563,32.0626104519061,13.9392474417855,17.7819927686563,57.6393667042054,5.19576187139146,0.784101864809356,195.678809067216,0.133060731555774,544.922343426213
"132",11400,2015,135,149,287,37,129,1717,353,1297,0.205591147,0.755387303,51.8982932776036,47.0219435736677,100,8.67742123347504,7.86209306388679,16.7142274765593,42.1976777116964,10.4078328579138,16.7142274765593,58.6643702614823,4.88391177720349,0.639479807880521,182.560765772542,0.134577045535293,635.185764489402
"133",11400,2016,165,74,241,37,129,1681,382,1217,0.227245687,0.723973825,30.692658647864,68.4363334715886,100,4.40187972161085,9.81500208197014,14.3358515257867,19.3666579429469,13.5568153808233,14.3358515257867,57.43436599275,4.18880082958364,0.733381270688048,197.988610739685,0.11858286420617,338.544378896061
"134",11400,2017,154,127,282,37,129,1664,372,1184,0.223557692,0.711538462,45.0194966323999,54.590570719603,100,7.63175289946518,9.25425154738297,16.9460969893636,34.1306100510615,13.0056583058863,16.9460969893636,56.8535306436264,4.95140506327079,0.665930198926632,201.062708084646,0.131057556707659,549.646598058182
"135",11400,2018,250,135,388,37,129,1652,386,1157,0.233656174,0.700363196,34.7848492656532,64.4163875289874,100,8.17141819502451,15.1322559167121,23.4852611827371,34.965034965035,21.6057384841414,23.4852611827371,56.4435292207157,6.86196997865937,1.05640515123274,216.187207168264,0.134256064368685,576.29244461108
"136",11500,2010,42,49,91,37,129,8118,5660,1826,0.697216063,0.224932249,53.7870472008782,46.1031833150384,100,0.603589509860682,0.517362437023441,1.12095194688412,0.865709086411901,2.29998357154592,1.12095194688412,277.365962599134,0.327968155616519,0.280087324379833,110.500922567015,0.282273729636854,128.180401113485
